Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_EIA-3528-12_Kemet-T,2,100u,C16133
C3,CP_Elec_10x10.5,1,1000u,C3359
D1,D_SOD-123,1,3V9,C2114
Q1,SOT-23,1,MMBT3904,C20526v
R1,0603,1,560,C23204
