Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0603,3,100n,C1590
"Q1, Q16, Q18, Q2, Q20, Q22, Q23, Q25, Q3, Q30, Q32, Q34, Q35, Q36, Q37, Q38, Q39, Q4, Q40, Q41, Q42, Q49, Q5, Q50, Q51, Q52, Q58, Q59, Q6, Q60, Q61, Q62, Q63, Q64, Q65, Q68, Q8",SOT-23,37,DMP3099L,C2940610
"Q10, Q11, Q12, Q13, Q14, Q15, Q17, Q19, Q21, Q24, Q26, Q27, Q28, Q29, Q31, Q33, Q43, Q44, Q45, Q46, Q47, Q48, Q53, Q54, Q55, Q56, Q57, Q66, Q67, Q69, Q7, Q70, Q71, Q72, Q73, Q74, Q9",SOT-23,37,2N7002,C8545
