Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",0603,4,100n,C14663
"Q1, Q10, Q12, Q13, Q15, Q17, Q2, Q22, Q23, Q25, Q26, Q29, Q33, Q35, Q36, Q37, Q40, Q41, Q45, Q46, Q47, Q48, Q50, Q52, Q58, Q59, Q6, Q60, Q61, Q63, Q64, Q67, Q69, Q7, Q72, Q76, Q77, Q78, Q80, Q81, Q83, Q86, Q88, Q9, Q90, Q91, Q92, Q95",SOT-23,48,2N7002,C8545
"Q11, Q14, Q16, Q18, Q19, Q20, Q21, Q24, Q27, Q28, Q3, Q30, Q31, Q32, Q34, Q38, Q39, Q4, Q42, Q43, Q44, Q49, Q5, Q51, Q53, Q54, Q55, Q56, Q57, Q62, Q65, Q66, Q68, Q70, Q71, Q73, Q74, Q75, Q79, Q8, Q82, Q84, Q85, Q87, Q89, Q93, Q94, Q96",SOT-23,48,AO3401A,C15127
