Designator,Footprint,Quantity,Value,LCSC Part #
"R1, R10, R11, R12, R13, R14, R15, R16, R2, R3, R4, R5, R6, R7, R8, R9",0603,16,330,C23138
"U1, U10, U11, U12, U13, U14, U15, U16, U2, U3, U4, U5, U6, U7, U8, U9",SOP-4_3.8x4.1mm_P2.54mm,16,GAQY210S,C7435113
