"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Q15,Q10,Q29,Q31,Q13,Q9,Q7,Q28,Q14,Q17,Q24,Q12,Q19,Q26,Q21,Q33,Q11,Q27,Q46,Q47,Q66,Q44,Q43,Q69,Q70,Q67,Q53,Q71,Q73,Q48,Q54,Q55,Q74,Q56,Q72,Q45,Q57";"SOT-23";37;"2N7002";;;
2;"C1,C2,C3";"C_0603_1608Metric";3;"100n";;;
3;"Q20,Q18,Q25,Q8,Q23,Q34,Q16,Q4,Q3,Q1,Q36,Q2,Q35,Q32,Q6,Q30,Q5,Q22,Q40,Q50,Q52,Q59,Q58,Q51,Q68,Q65,Q39,Q63,Q37,Q38,Q62,Q49,Q61,Q42,Q60,Q64,Q41";"SOT-23";37;"DMP3099L";;;
